求人一括入稿用のコード一覧

求人一括作成機能利用時のコード一覧です。
求人一括作成機能については、複数の求人を一括入稿したいを参照ください。

目次

1. コード一覧の見かた
2. コード値一覧（職種以外）
3. コード値一覧（職種）
4. 求人の特徴ID一覧
1. コード一覧の見かた
❶項目	❷入力形式
求人番号（job_offer_id）	空の場合：求人を新規作成
値がある場合：求人を更新
承認状況（approval_status）	入力不可
掲載状況（publish_status）	入力不可
クライアントコード（client_code）	入力不可
雇用形態CD（job_type）	コード値
雇用形態（job_type_jp）	入力不可
有料職業紹介フラグ（is_placement）	コード値
職種名（title）	テキスト
職種1CD（occupation_id_1）	コード値
職種1（occupation_id_jp1）	入力不可
職種2CD（occupation_id_2）	コード値
職種2（occupation_id_jp2）	入力不可
職種3CD（occupation_id_3）	コード値
職種3（occupation_id_jp3）	入力不可
仕事内容（description）	テキスト
仕事内容の特徴（お客様との対話）ID（job_features_cs_dialogue_id）	ID
仕事内容の特徴（お客様との対話）（job_features_cs_dialogue_id_name）	入力不可
仕事内容の特徴（仕事のスタイル）ID（job_features_job_style_id）	ID
仕事内容の特徴（仕事のスタイル）（job_features_job_style_id_name）	入力不可
仕事内容の特徴（仕事の環境）ID（job_features_work_env_id）	ID
仕事内容の特徴（仕事の環境）（job_features_work_env_id_name）	入力不可
仕事内容の特徴（勤務地）ID（job_features_work_location_id）	ID
仕事内容の特徴（勤務地）（job_features_work_location_id_name）	入力不可
仕事内容の特徴（業務のスタイル）ID（job_features_work_style_id）	ID
仕事内容の特徴（業務のスタイル）（job_features_work_style_id_name）	入力不可
仕事内容の特徴（力仕事）ID（job_features_physical_labor_id）	ID
仕事内容の特徴（力仕事）（job_features_physical_labor_id_name）	入力不可
仕事内容の特徴（作業内容）ID（job_features_work_content_id）	ID
仕事内容の特徴（作業内容）（job_features_work_content_id_name）	入力不可
勤務地種別CD（remote_flg）	コード値
勤務地種別（remote_flg_jp）	入力不可
勤務地番号（working_location_id）	コード値
勤務地名（working_location_id_jp）	入力不可
勤務地郵便番号 (working_location_postcode)	入力不可
勤務地都道府県JIS_cd(working_location_prefecture_jis_cd)	入力不可
勤務地都道府県(working_location_prefecture)	入力不可
勤務地市区町村(working_location_city_area)	入力不可
勤務地の特徴ID（working_location_features_id）	ID
勤務地の特徴（working_location_features_id_name）	入力不可
喫煙所CD（smoking_section_type）	コード値
喫煙所（smoking_section_type_jp）	入力不可
喫煙に関する補足説明（smoking_section_supplement）	テキスト
職場環境ID（work_environment_id）	ID
職場環境（work_environment_id_name）	入力不可
職場環境の補足説明（work_environment）	テキスト
出向先CD（job_assignment_system）	コード値
出向先（job_assignment_system_jp）	入力不可
出向先企業名（seconded_company）	テキスト
出向先理由（reason_for_secondment）	テキスト
